School Name,Latitude,Longitude,Engelsk,Matte,Norsk,Fylke,Kommune
EnhetNavn,0,0,2023-24.Engelsk.5. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,2023-24.Lesing.5. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,2023-24.Regning.5. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,Fylke,Kommune
Hele landet,0,0,50,49,50,Alle fylker,Alle kommuner
Agder,0,0,49,49,49,Agder,Alle kommuner
Arendal,0,0,49,47,47,Agder,Arendal
Arendal International School (Ais),58.432075,8.74147,57,44,48,Agder,Arendal
Asdal skole,58.435024,8.694807,49,49,49,Agder,Arendal
Birkenlund skole,58.471189,8.791785,48,47,44,Agder,Arendal
Eydehavn skole,58.5095539,8.869275202396903,51,48,48,Agder,Arendal
Flosta skole,58.553073,8.97202,52,49,51,Agder,Arendal
Hisøy skole 1-10 Skoler,0,0,49,47,47,Agder,Arendal
Moltemyr skole,58.476532,8.76338,44,45,44,Agder,Arendal
Myra skole,58.485148,8.733568,48,47,46,Agder,Arendal
Nedenes skole,58.413167099999995,8.709497364328051,51,48,50,Agder,Arendal
Nesheim skole,58.516521,8.784692,52,53,60,Agder,Arendal
Roligheden skole Barne-/Ungdomstrinnet,58.455447,8.803997,47,50,48,Agder,Arendal
Rykene oppvekstsenter Avd skole,0,0,50,47,47,Agder,Arendal
Sandnes skole,58.48499,8.875129,48,48,45,Agder,Arendal
St Franciskus skole,58.45779265,8.76595650019716,51,52,47,Agder,Arendal
Steinerskolen i Arendal,58.4757381,8.755222487889236,48,50,46,Agder,Arendal
Stinta skole barne- og Ungdomstrinnet,58.462557000000004,8.757978755494506,50,48,44,Agder,Arendal
Strømmen oppvekstsenter Avd skole,0,0,45,43,43,Agder,Arendal
Stuenes skole Barne- og Ungdomstrinn,58.492494,8.847901,45,44,44,Agder,Arendal
Birkenes,0,0,47,48,48,Agder,Birkenes
Birkeland skole,58.32089085,8.241581229894578,47,48,48,Agder,Birkenes
Engesland skole,58.529048,8.119065,*,*,*,Agder,Birkenes
Herefoss skole,58.518995,8.353853,*,*,*,Agder,Birkenes
Bygland,0,0,46,42,45,Agder,Bygland
Bygland oppvekstsenter Avd skule,0,0,*,*,*,Agder,Bygland
Byglandsfjord oppvekstsenter Avd skule,0,0,*,*,*,Agder,Bygland
Bykle,0,0,*,*,*,Agder,Bykle
Bykle barne- og ungdomsskule,59.356744899999995,7.358633681230698,*,*,*,Agder,Bykle
Fjellgardane skule,59.56398325,7.355834137155786,*,*,*,Agder,Bykle
Evje og Hornnes,0,0,50,45,49,Agder,Evje og Hornnes
Evje barneskule,58.590928,7.82098,51,47,48,Agder,Evje og Hornnes
Hornnes barneskule,58.567555,7.763544,47,42,51,Agder,Evje og Hornnes
Farsund,0,0,50,46,52,Agder,Farsund
Borhaug skole,58.0998155,6.585854954464287,52,48,51,Agder,Farsund
Farsund barneskole,58.0928756,6.79540731803297,49,46,50,Agder,Farsund
Vanse skole,58.103402,6.693512,51,46,54,Agder,Farsund
Flekkefjord,0,0,50,48,49,Agder,Flekkefjord
Gyland skole,58.376438,6.835106,*,*,*,Agder,Flekkefjord
